Problem,Start,End
Question 7 Spring 2017 Exam 1,1275,1433
Question 4 Fall 2016 Exam 1,454,700
Question 9 Spring 2016 Exam 1,1487,1811
Question 7 Fall 2017 Exam 1,1451,1705
Question 11 Fall 2021 Exam 1,3272,3603
Question 12 Spring 2017 Exam 1,2059,2208
Question 8 Fall 2017 Exam 1,1705,1859
Question 7 Spring 2019 Exam 1,2016,2388
Question 8 Spring 2019 Exam 1,2389,2658
Question 6 Fall 2021 Exam 1,1636,1868
Question 12 Fall 2018 Exam 1,2696,2944
Question 11 Spring 2017 Exam 1,1984,2059
Question 8 Fall 2018 Exam 1,1835,2099
Question 9 Spring 2020 Exam 1,2778,2863
Question 3 Spring 2020 Exam 2,282,496
Question 12 Fall 2016 Exam 1,2278,2528
Question 4 Spring 2022 Exam 2,571,826
Question 2 Spring 2019 Final,341,468